// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 1.1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.41 sec)   *****
// Found 7 benchmarks:
//   LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForeachSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForToArray: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]

// **************************
// Benchmark: LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.Foreach(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 0 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 291500.00 ns, 291.5000 us/op
WorkloadJitting  1: 1 op, 286600.00 ns, 286.6000 us/op

OverheadJitting  2: 16 op, 353200.00 ns, 22.0750 us/op
WorkloadJitting  2: 16 op, 364600.00 ns, 22.7875 us/op

WorkloadPilot    1: 16 op, 900.00 ns, 56.2500 ns/op
WorkloadPilot    2: 32 op, 1300.00 ns, 40.6250 ns/op
WorkloadPilot    3: 64 op, 2300.00 ns, 35.9375 ns/op
WorkloadPilot    4: 128 op, 4300.00 ns, 33.5938 ns/op
WorkloadPilot    5: 256 op, 8000.00 ns, 31.2500 ns/op
WorkloadPilot    6: 512 op, 15000.00 ns, 29.2969 ns/op
WorkloadPilot    7: 1024 op, 29000.00 ns, 28.3203 ns/op
WorkloadPilot    8: 2048 op, 55500.00 ns, 27.0996 ns/op
WorkloadPilot    9: 4096 op, 111100.00 ns, 27.1240 ns/op
WorkloadPilot   10: 8192 op, 222000.00 ns, 27.0996 ns/op
WorkloadPilot   11: 16384 op, 445500.00 ns, 27.1912 ns/op
WorkloadPilot   12: 32768 op, 856700.00 ns, 26.1444 ns/op
WorkloadPilot   13: 65536 op, 1658200.00 ns, 25.3021 ns/op
WorkloadPilot   14: 131072 op, 3539000.00 ns, 27.0004 ns/op
WorkloadPilot   15: 262144 op, 6675100.00 ns, 25.4635 ns/op
WorkloadPilot   16: 524288 op, 13341600.00 ns, 25.4471 ns/op
WorkloadPilot   17: 1048576 op, 26731000.00 ns, 25.4927 ns/op
WorkloadPilot   18: 2097152 op, 53321300.00 ns, 25.4256 ns/op
WorkloadPilot   19: 4194304 op, 107110000.00 ns, 25.5370 ns/op
WorkloadPilot   20: 8388608 op, 213252000.00 ns, 25.4216 ns/op
WorkloadPilot   21: 16777216 op, 426562300.00 ns, 25.4251 ns/op
WorkloadPilot   22: 33554432 op, 853367600.00 ns, 25.4323 ns/op

OverheadWarmup   1: 33554432 op, 46324000.00 ns, 1.3806 ns/op
OverheadWarmup   2: 33554432 op, 46632200.00 ns, 1.3897 ns/op
OverheadWarmup   3: 33554432 op, 46350600.00 ns, 1.3814 ns/op
OverheadWarmup   4: 33554432 op, 46321400.00 ns, 1.3805 ns/op
OverheadWarmup   5: 33554432 op, 46360400.00 ns, 1.3816 ns/op
OverheadWarmup   6: 33554432 op, 46484600.00 ns, 1.3853 ns/op
OverheadWarmup   7: 33554432 op, 46478400.00 ns, 1.3852 ns/op

OverheadActual   1: 33554432 op, 46467900.00 ns, 1.3849 ns/op
OverheadActual   2: 33554432 op, 46491800.00 ns, 1.3856 ns/op
OverheadActual   3: 33554432 op, 46406700.00 ns, 1.3830 ns/op
OverheadActual   4: 33554432 op, 46338200.00 ns, 1.3810 ns/op
OverheadActual   5: 33554432 op, 46314800.00 ns, 1.3803 ns/op
OverheadActual   6: 33554432 op, 46466600.00 ns, 1.3848 ns/op
OverheadActual   7: 33554432 op, 46355000.00 ns, 1.3815 ns/op
OverheadActual   8: 33554432 op, 46611400.00 ns, 1.3891 ns/op
OverheadActual   9: 33554432 op, 52433800.00 ns, 1.5626 ns/op
OverheadActual  10: 33554432 op, 50220200.00 ns, 1.4967 ns/op
OverheadActual  11: 33554432 op, 46296800.00 ns, 1.3798 ns/op
